Latitude φ (deg),Loop area A (m^2),Sagnac Δt (s),Sagnac Δt (ns),N fringes @ He-Ne 632.8 nm,Δφ (rad) @ He-Ne 632.8 nm,N fringes @ DPSS 532 nm,Δφ (rad) @ DPSS 532 nm,N fringes @ C-band 1550 nm,Δφ (rad) @ C-band 1550 nm
0,127516117977447.06,4.138445411648233e-07,413.8445411648233,196061112.87244716,1231888303.7094386,233209534.25880554,1465298719.1491213,80043530.46818359,502928334.5724727
30,95637088483085.31,3.103834058736175e-07,310.3834058736175,147045834.65433538,923916227.7820789,174907150.6941042,1098974039.3618412,60032647.851137705,377196250.9293546
40,74829529743696.02,2.428539457877509e-07,242.85394578775092,115053383.91704896,722901731.3688941,136852972.44870034,859872585.7335267,46971471.83400554,295130461.6840234
45,63758058988723.53,2.0692227058241165e-07,206.92227058241164,98030556.43622358,615944151.8547193,116604767.12940277,732649359.5745606,40021765.234091796,251464167.28623635
50,52686588233751.05,1.7099059537707243e-07,170.99059537707242,81007728.95539819,508986572.3405442,96356561.8101052,605426133.4155947,33072058.63417805,207797872.8884493
